"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('1', 0, 1, 1000)","('20', 1, 2, 1000)",1
"('1', 1, 2, 1000)","('20', 1, 2, 1000)",1
"('1', 2, 3, 1000)","('1', 0, 1, 1000)",1
"('1', 3, 4, 1000)","('1', 1, 2, 1000)",1
"('1', 4, 5, 1000)","('20', 1, 2, 1000)",1
"('1', 5, 6, 1000)","('1', 0, 1, 1000)",1
"('1', 6, 7, 1000)","('1', 0, 1, 1000)",1
"('1', 7, 8, 1000)","('20', 1, 2, 1000)",1
"('1', 8, 9, 1000)","('1', 0, 1, 1000)",1
"('1', 9, 10, 1000)","('1', 6, 7, 1000)",1
"('1', 10, 11, 1000)","('1', 0, 1, 1000)",1
"('1', 11, 12, 1000)","('1', 0, 1, 1000)",1
"('1', 12, 13, 1000)","('1', 2, 3, 1000)",1
"('1', 13, 14, 1000)","('1', 0, 1, 1000)",1
"('1', 14, 15, 1000)","('1', 0, 1, 1000)",1
"('1', 15, 16, 1000)","('1', 0, 1, 1000)",1
"('1', 16, 17, 1000)","('1', 0, 1, 1000)",1
"('1', 17, 18, 1000)","('1', 6, 7, 1000)",1
"('1', 18, 19, 1000)","('1', 0, 1, 1000)",1
"('1', 19, 20, 1000)","('1', 0, 1, 1000)",1
"('1', 20, 21, 1000)","('1', 0, 1, 1000)",1
"('1', 21, 22, 1000)","('1', 0, 1, 1000)",5
"('1', 22, 23, 1000)","('1', 0, 1, 1000)",6
"('1', 23, 24, 1000)","('10', 13, 14, 1000)",8
"('1', 24, 25, 1000)","('20', 1, 2, 1000)",8
"('1', 25, 26, 1000)","('1', 0, 1, 1000)",8
"('1', 26, 27, 1000)","('1', 0, 1, 1000)",8
"('1', 27, 28, 1000)","('1', 0, 1, 1000)",9
"('1', 28, 29, 1000)","('1', 0, 1, 1000)",12
"('1', 29, 30, 1000)","('1', 0, 1, 1000)",12
"('1', 30, 31, 1000)","('1', 0, 1, 1000)",12
"('1', 31, 32, 1000)","('1', 0, 1, 1000)",12
"('1', 32, 33, 1000)","('1', 0, 1, 1000)",12
"('2', 0, 1, 1000)","('5', 9, 10, 1000)",2
"('2', 1, 2, 1000)","('18', 21, 22, 1000)",5
"('2', 2, 3, 1000)","('20', 39, 40, 1000)",10
"('2', 3, 4, 1000)","('2', 1, 2, 1000)",10
"('4', 0, 1, 1000)","('1', 4, 5, 1000)",2
"('4', 1, 2, 1000)","('4', 0, 1, 1000)",2
"('4', 2, 3, 1000)","('4', 5, 6, 1000)",4
"('4', 3, 4, 1000)","('1', 4, 5, 1000)",4
"('4', 4, 5, 1000)","('4', 3, 4, 1000)",4
"('4', 5, 6, 1000)","('1', 4, 5, 1000)",4
"('4', 6, 7, 1000)","('1', 4, 5, 1000)",4
"('4', 7, 8, 1000)","('4', 0, 1, 1000)",4
"('4', 8, 9, 1000)","('4', 2, 3, 1000)",4
"('4', 9, 10, 1000)","('9', 1, 2, 1000)",11
"('4', 10, 11, 1000)","('4', 2, 3, 1000)",11
"('5', 0, 1, 1000)","('1', 4, 5, 1000)",1
"('5', 1, 2, 1000)","('20', 2, 3, 1000)",1
"('5', 2, 3, 1000)","('1', 8, 9, 1000)",1
"('5', 3, 4, 1000)","('20', 3, 4, 1000)",1
"('5', 4, 5, 1000)","('5', 5, 6, 1000)",2
"('5', 5, 6, 1000)","('5', 4, 5, 1000)",2
"('5', 6, 7, 1000)","('1', 4, 5, 1000)",3
"('5', 7, 8, 1000)","('5', 8, 9, 1000)",4
"('5', 8, 9, 1000)","('20', 1, 2, 1000)",4
"('5', 9, 10, 1000)","('2', 0, 1, 1000)",4
"('5', 10, 11, 1000)","('5', 4, 5, 1000)",4
"('5', 11, 12, 1000)","('5', 0, 1, 1000)",4
"('5', 12, 13, 1000)","('9', 2, 3, 1000)",5
"('5', 13, 14, 1000)","('9', 5, 6, 1000)",5
"('5', 14, 15, 1000)","('5', 0, 1, 1000)",8
"('5', 15, 16, 1000)","('5', 3, 4, 1000)",8
"('5', 16, 17, 1000)","('18', 0, 1, 1000)",8
"('5', 17, 18, 1000)","('1', 0, 1, 1000)",8
"('5', 18, 19, 1000)","('5', 3, 4, 1000)",9
"('5', 19, 20, 1000)","('5', 7, 8, 1000)",11
"('5', 20, 21, 1000)","('5', 8, 9, 1000)",11
"('5', 21, 22, 1000)","('24', 1, 2, 1000)",11
"('5', 22, 23, 1000)","('18', 7, 8, 1000)",11
"('6', 0, 1, 1000)","('6', 1, 2, 1000)",5
"('6', 1, 2, 1000)","('6', 0, 1, 1000)",5
"('7', 0, 1, 1000)","('7', 1, 2, 1000)",5
"('7', 1, 2, 1000)","('7', 0, 1, 1000)",5
"('8', 1, 2, 1000)","('8', 0, 1, 1000)",14
"('9', 0, 1, 1000)","('1', 0, 1, 1000)",5
"('9', 1, 2, 1000)","('9', 0, 1, 1000)",5
"('9', 2, 3, 1000)","('9', 0, 1, 1000)",5
"('9', 3, 4, 1000)","('9', 0, 1, 1000)",5
"('9', 4, 5, 1000)","('9', 0, 1, 1000)",5
"('9', 5, 6, 1000)","('9', 0, 1, 1000)",5
"('9', 6, 7, 1000)","('9', 1, 2, 1000)",5
"('9', 7, 8, 1000)","('9', 1, 2, 1000)",5
"('9', 8, 9, 1000)","('9', 2, 3, 1000)",5
"('9', 9, 10, 1000)","('9', 0, 1, 1000)",5
"('9', 10, 11, 1000)","('20', 1, 2, 1000)",6
"('9', 11, 12, 1000)","('20', 1, 2, 1000)",7
"('10', 0, 1, 1000)","('10', 1, 2, 1000)",5
"('10', 1, 2, 1000)","('10', 0, 1, 1000)",5
"('10', 2, 3, 1000)","('10', 1, 2, 1000)",5
"('10', 3, 4, 1000)","('9', 2, 3, 1000)",5
"('10', 4, 5, 1000)","('10', 0, 1, 1000)",5
"('10', 5, 6, 1000)","('19', 1, 2, 1000)",5
"('10', 6, 7, 1000)","('10', 0, 1, 1000)",5
"('10', 7, 8, 1000)","('10', 0, 1, 1000)",5
"('10', 8, 9, 1000)","('10', 5, 6, 1000)",5
"('10', 9, 10, 1000)","('10', 0, 1, 1000)",5
"('10', 10, 11, 1000)","('10', 13, 14, 1000)",8
"('10', 11, 12, 1000)","('10', 12, 13, 1000)",8
"('10', 12, 13, 1000)","('10', 11, 12, 1000)",8
"('10', 13, 14, 1000)","('18', 27, 28, 1000)",8
"('10', 14, 15, 1000)","('10', 10, 11, 1000)",8
"('10', 15, 16, 1000)","('10', 14, 15, 1000)",8
"('10', 16, 17, 1000)","('10', 0, 1, 1000)",8
"('10', 17, 18, 1000)","('10', 3, 4, 1000)",8
"('10', 18, 19, 1000)","('10', 14, 15, 1000)",8
"('10', 19, 20, 1000)","('10', 12, 13, 1000)",8
