"src(partition,col,length,network,diameter=1000)","dest(partition,col,length,network,diameter=1000)",network
"('1', 4, 1, 1000)","('1', 5, 1, 1000)",1
"('1', 7, 1, 1000)","('1', 6, 1, 1000)",1
"('1', 9, 1, 1000)","('1', 5, 1, 1000)",1
"('1', 11, 1, 1000)","('1', 13, 1, 1000)",1
"('1', 12, 1, 1000)","('1', 4, 1, 1000)",1
"('1', 15, 1, 1000)","('1', 5, 1, 1000)",1
"('1', 16, 1, 1000)","('1', 6, 1, 1000)",1
"('1', 18, 1, 1000)","('1', 5, 1, 1000)",1
"('1', 21, 1, 1000)","('1', 4, 1, 1000)",1
"('1', 24, 1, 1000)","('1', 11, 1, 1000)",2
"('1', 26, 1, 1000)","('1', 29, 1, 1000)",3
"('1', 27, 1, 1000)","('1', 5, 1, 1000)",3
"('1', 28, 1, 1000)","('1', 3, 1, 1000)",3
"('1', 29, 1, 1000)","('1', 15, 1, 1000)",3
"('1', 31, 1, 1000)","('1', 11, 1, 1000)",9
"('2', 0, 1, 1000)","('1', 25, 1, 1000)",3
"('2', 10, 1, 1000)","('2', 0, 1, 1000)",5
"('2', 11, 1, 1000)","('2', 0, 1, 1000)",5
"('2', 12, 1, 1000)","('12', 8, 1, 1000)",5
"('2', 13, 1, 1000)","('12', 8, 1, 1000)",5
"('2', 14, 1, 1000)","('12', 8, 1, 1000)",5
"('2', 15, 1, 1000)","('12', 8, 1, 1000)",5
"('2', 17, 1, 1000)","('2', 0, 1, 1000)",5
"('2', 18, 1, 1000)","('2', 0, 1, 1000)",5
"('2', 19, 1, 1000)","('2', 9, 1, 1000)",5
"('2', 20, 1, 1000)","('2', 0, 1, 1000)",5
"('2', 21, 1, 1000)","('2', 0, 1, 1000)",5
"('2', 23, 1, 1000)","('2', 25, 1, 1000)",8
"('2', 24, 1, 1000)","('3', 3, 1, 1000)",8
"('2', 26, 1, 1000)","('2', 9, 1, 1000)",8
"('2', 29, 1, 1000)","('2', 23, 1, 1000)",8
"('2', 32, 1, 1000)","('2', 9, 1, 1000)",8
"('2', 33, 1, 1000)","('2', 0, 1, 1000)",8
"('2', 34, 1, 1000)","('2', 0, 1, 1000)",9
"('2', 35, 1, 1000)","('2', 0, 1, 1000)",9
"('2', 36, 1, 1000)","('1', 3, 1, 1000)",9
"('2', 37, 1, 1000)","('2', 0, 1, 1000)",9
"('2', 38, 1, 1000)","('1', 30, 1, 1000)",9
"('2', 39, 1, 1000)","('1', 25, 1, 1000)",9
"('2', 40, 1, 1000)","('2', 0, 1, 1000)",9
"('2', 42, 1, 1000)","('2', 0, 1, 1000)",9
"('2', 43, 1, 1000)","('2', 10, 1, 1000)",9
"('2', 44, 1, 1000)","('2', 36, 1, 1000)",10
"('2', 45, 1, 1000)","('3', 11, 1, 1000)",10
"('2', 46, 1, 1000)","('13', 1, 1, 1000)",10
"('2', 47, 1, 1000)","('2', 0, 1, 1000)",10
"('2', 48, 1, 1000)","('2', 38, 1, 1000)",10
"('2', 49, 1, 1000)","('2', 23, 1, 1000)",10
"('2', 50, 1, 1000)","('3', 9, 1, 1000)",11
"('3', 2, 1, 1000)","('1', 9, 1, 1000)",1
"('3', 4, 1, 1000)","('3', 2, 1, 1000)",1
"('3', 6, 1, 1000)","('3', 5, 1, 1000)",2
"('3', 10, 1, 1000)","('3', 6, 1, 1000)",4
"('3', 18, 1, 1000)","('3', 12, 1, 1000)",5
"('3', 19, 1, 1000)","('3', 12, 1, 1000)",5
"('3', 21, 1, 1000)","('3', 19, 1, 1000)",5
"('3', 23, 1, 1000)","('3', 3, 1, 1000)",8
"('3', 25, 1, 1000)","('3', 10, 1, 1000)",11
"('7', 2, 1, 1000)","('7', 3, 1, 1000)",14
"('9', 1, 1, 1000)","('1', 24, 1, 1000)",2
"('9', 2, 1, 1000)","('1', 11, 1, 1000)",3
"('9', 3, 1, 1000)","('9', 0, 1, 1000)",4
"('9', 4, 1, 1000)","('1', 19, 1, 1000)",4
"('9', 10, 1, 1000)","('9', 9, 1, 1000)",5
"('9', 14, 1, 1000)","('9', 11, 1, 1000)",5
"('9', 15, 1, 1000)","('9', 11, 1, 1000)",5
"('9', 16, 1, 1000)","('9', 8, 1, 1000)",5
"('9', 18, 1, 1000)","('9', 8, 1, 1000)",5
"('9', 19, 1, 1000)","('9', 8, 1, 1000)",5
"('9', 20, 1, 1000)","('9', 8, 1, 1000)",5
"('9', 21, 1, 1000)","('9', 15, 1, 1000)",6
"('9', 23, 1, 1000)","('9', 8, 1, 1000)",6
"('9', 25, 1, 1000)","('9', 21, 1, 1000)",6
"('9', 26, 1, 1000)","('9', 18, 1, 1000)",7
"('9', 27, 1, 1000)","('9', 22, 1, 1000)",7
"('9', 30, 1, 1000)","('9', 26, 1, 1000)",7
"('9', 31, 1, 1000)","('9', 13, 1, 1000)",7
"('9', 36, 1, 1000)","('13', 0, 1, 1000)",7
"('9', 39, 1, 1000)","('9', 27, 1, 1000)",7
"('9', 42, 1, 1000)","('1', 13, 1, 1000)",7
"('9', 43, 1, 1000)","('9', 22, 1, 1000)",7
"('9', 44, 1, 1000)","('1', 13, 1, 1000)",7
"('9', 45, 1, 1000)","('9', 27, 1, 1000)",7
"('9', 46, 1, 1000)","('9', 51, 1, 1000)",8
"('9', 47, 1, 1000)","('9', 0, 1, 1000)",8
"('9', 49, 1, 1000)","('9', 0, 1, 1000)",8
"('9', 50, 1, 1000)","('9', 0, 1, 1000)",8
