"src(partition,col,length,network,diameter=1000)","dest(partition,col,length,network,diameter=1000)",network
"('1', 0, 1, 1000)","('20', 1, 1, 1000)",1
"('1', 1, 1, 1000)","('20', 1, 1, 1000)",1
"('1', 2, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 3, 1, 1000)","('1', 1, 1, 1000)",1
"('1', 4, 1, 1000)","('20', 1, 1, 1000)",1
"('1', 5, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 6, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 7, 1, 1000)","('20', 1, 1, 1000)",1
"('1', 8, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 9, 1, 1000)","('1', 6, 1, 1000)",1
"('1', 10, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 11, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 12, 1, 1000)","('1', 2, 1, 1000)",1
"('1', 13, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 14, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 15, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 16, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 17, 1, 1000)","('1', 6, 1, 1000)",1
"('1', 18, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 19, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 20, 1, 1000)","('1', 0, 1, 1000)",1
"('1', 21, 1, 1000)","('1', 0, 1, 1000)",5
"('1', 22, 1, 1000)","('1', 0, 1, 1000)",6
"('1', 23, 1, 1000)","('10', 13, 1, 1000)",8
"('1', 24, 1, 1000)","('20', 1, 1, 1000)",8
"('1', 25, 1, 1000)","('1', 0, 1, 1000)",8
"('1', 26, 1, 1000)","('1', 0, 1, 1000)",8
"('1', 27, 1, 1000)","('1', 0, 1, 1000)",9
"('1', 28, 1, 1000)","('1', 0, 1, 1000)",12
"('1', 29, 1, 1000)","('1', 0, 1, 1000)",12
"('1', 30, 1, 1000)","('1', 0, 1, 1000)",12
"('1', 31, 1, 1000)","('1', 0, 1, 1000)",12
"('1', 32, 1, 1000)","('1', 0, 1, 1000)",12
"('2', 0, 1, 1000)","('5', 9, 1, 1000)",2
"('2', 1, 1, 1000)","('18', 21, 1, 1000)",5
"('2', 2, 1, 1000)","('20', 39, 1, 1000)",10
"('2', 3, 1, 1000)","('2', 1, 1, 1000)",10
"('4', 0, 1, 1000)","('1', 4, 1, 1000)",2
"('4', 1, 1, 1000)","('4', 0, 1, 1000)",2
"('4', 2, 1, 1000)","('4', 5, 1, 1000)",4
"('4', 3, 1, 1000)","('1', 4, 1, 1000)",4
"('4', 4, 1, 1000)","('4', 3, 1, 1000)",4
"('4', 5, 1, 1000)","('1', 4, 1, 1000)",4
"('4', 6, 1, 1000)","('1', 4, 1, 1000)",4
"('4', 7, 1, 1000)","('4', 0, 1, 1000)",4
"('4', 8, 1, 1000)","('4', 2, 1, 1000)",4
"('4', 9, 1, 1000)","('9', 1, 1, 1000)",11
"('4', 10, 1, 1000)","('4', 2, 1, 1000)",11
"('5', 0, 1, 1000)","('1', 4, 1, 1000)",1
"('5', 1, 1, 1000)","('20', 2, 1, 1000)",1
"('5', 2, 1, 1000)","('1', 8, 1, 1000)",1
"('5', 3, 1, 1000)","('20', 3, 1, 1000)",1
"('5', 6, 1, 1000)","('1', 4, 1, 1000)",3
"('5', 7, 1, 1000)","('5', 8, 1, 1000)",4
"('5', 8, 1, 1000)","('20', 1, 1, 1000)",4
"('5', 9, 1, 1000)","('2', 0, 1, 1000)",4
"('5', 11, 1, 1000)","('5', 0, 1, 1000)",4
"('5', 12, 1, 1000)","('9', 2, 1, 1000)",5
"('5', 13, 1, 1000)","('9', 5, 1, 1000)",5
"('5', 14, 1, 1000)","('5', 0, 1, 1000)",8
"('5', 15, 1, 1000)","('5', 3, 1, 1000)",8
"('5', 16, 1, 1000)","('18', 0, 1, 1000)",8
"('5', 17, 1, 1000)","('1', 0, 1, 1000)",8
"('5', 18, 1, 1000)","('5', 3, 1, 1000)",9
"('5', 19, 1, 1000)","('5', 7, 1, 1000)",11
"('5', 20, 1, 1000)","('5', 8, 1, 1000)",11
"('5', 21, 1, 1000)","('24', 1, 1, 1000)",11
"('5', 22, 1, 1000)","('18', 7, 1, 1000)",11
"('8', 1, 1, 1000)","('8', 0, 1, 1000)",14
"('9', 0, 1, 1000)","('1', 0, 1, 1000)",5
"('9', 1, 1, 1000)","('9', 0, 1, 1000)",5
"('9', 2, 1, 1000)","('9', 0, 1, 1000)",5
"('9', 3, 1, 1000)","('9', 0, 1, 1000)",5
"('9', 4, 1, 1000)","('9', 0, 1, 1000)",5
"('9', 5, 1, 1000)","('9', 0, 1, 1000)",5
"('9', 6, 1, 1000)","('9', 1, 1, 1000)",5
"('9', 7, 1, 1000)","('9', 1, 1, 1000)",5
"('9', 8, 1, 1000)","('9', 2, 1, 1000)",5
"('9', 9, 1, 1000)","('9', 0, 1, 1000)",5
"('9', 10, 1, 1000)","('20', 1, 1, 1000)",6
"('9', 11, 1, 1000)","('20', 1, 1, 1000)",7
"('10', 3, 1, 1000)","('9', 2, 1, 1000)",5
"('10', 8, 1, 1000)","('10', 5, 1, 1000)",5
"('10', 10, 1, 1000)","('10', 13, 1, 1000)",8
"('10', 13, 1, 1000)","('18', 27, 1, 1000)",8
"('10', 14, 1, 1000)","('10', 10, 1, 1000)",8
"('10', 15, 1, 1000)","('10', 14, 1, 1000)",8
"('10', 17, 1, 1000)","('10', 3, 1, 1000)",8
"('10', 18, 1, 1000)","('10', 14, 1, 1000)",8
"('10', 20, 1, 1000)","('10', 10, 1, 1000)",8
"('10', 21, 1, 1000)","('10', 15, 1, 1000)",9
"('10', 22, 1, 1000)","('10', 6, 1, 1000)",9
"('10', 23, 1, 1000)","('10', 8, 1, 1000)",9
"('10', 24, 1, 1000)","('10', 4, 1, 1000)",9
"('10', 25, 1, 1000)","('10', 8, 1, 1000)",9
"('16', 0, 1, 1000)","('18', 26, 1, 1000)",5
"('16', 1, 1, 1000)","('1', 11, 1, 1000)",7
"('16', 2, 1, 1000)","('20', 5, 1, 1000)",13
"('16', 3, 1, 1000)","('18', 33, 1, 1000)",13
"('16', 4, 1, 1000)","('18', 13, 1, 1000)",13
"('16', 5, 1, 1000)","('9', 5, 1, 1000)",13
"('16', 6, 1, 1000)","('16', 10, 1, 1000)",14
"('16', 7, 1, 1000)","('16', 0, 1, 1000)",14
"('16', 8, 1, 1000)","('16', 0, 1, 1000)",14
"('16', 9, 1, 1000)","('16', 0, 1, 1000)",14
"('16', 10, 1, 1000)","('16', 1, 1, 1000)",14
"('18', 0, 1, 1000)","('9', 0, 1, 1000)",5
"('18', 1, 1, 1000)","('9', 0, 1, 1000)",5
"('18', 3, 1, 1000)","('18', 0, 1, 1000)",5
"('18', 4, 1, 1000)","('1', 0, 1, 1000)",6
"('18', 5, 1, 1000)","('1', 0, 1, 1000)",6
"('18', 7, 1, 1000)","('18', 0, 1, 1000)",7
