"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('1', 0, 0.25, 1000)","('1', 7, 7.25, 1000)",1
"('1', 1, 1.25, 1000)","('33', 0, 0.25, 1000)",1
"('1', 2, 2.25, 1000)","('1', 5, 5.25, 1000)",1
"('1', 3, 3.25, 1000)","('1', 1, 1.25, 1000)",1
"('1', 4, 4.25, 1000)","('1', 14, 14.25, 1000)",1
"('1', 5, 5.25, 1000)","('33', 0, 0.25, 1000)",3
"('1', 6, 6.25, 1000)","('33', 0, 0.25, 1000)",4
"('1', 7, 7.25, 1000)","('1', 0, 0.25, 1000)",4
"('1', 8, 8.25, 1000)","('1', 2, 2.25, 1000)",4
"('1', 9, 9.25, 1000)","('1', 0, 0.25, 1000)",5
"('1', 10, 10.25, 1000)","('1', 9, 9.25, 1000)",5
"('1', 11, 11.25, 1000)","('1', 14, 14.25, 1000)",5
"('1', 12, 12.25, 1000)","('12', 0, 0.25, 1000)",5
"('1', 13, 13.25, 1000)","('1', 5, 5.25, 1000)",7
"('1', 14, 14.25, 1000)","('1', 4, 4.25, 1000)",8
"('1', 15, 15.25, 1000)","('1', 6, 6.25, 1000)",8
"('1', 16, 16.25, 1000)","('1', 0, 0.25, 1000)",10
"('1', 17, 17.25, 1000)","('1', 0, 0.25, 1000)",11
"('1', 18, 18.25, 1000)","('1', 0, 0.25, 1000)",14
"('8', 0, 0.25, 1000)","('8', 1, 1.25, 1000)",5
"('8', 1, 1.25, 1000)","('8', 0, 0.25, 1000)",10
"('8', 2, 2.25, 1000)","('8', 0, 0.25, 1000)",14
"('11', 0, 0.25, 1000)","('11', 1, 1.25, 1000)",5
"('11', 1, 1.25, 1000)","('11', 0, 0.25, 1000)",5
"('12', 0, 0.25, 1000)","('12', 1, 1.25, 1000)",1
"('12', 1, 1.25, 1000)","('12', 0, 0.25, 1000)",1
"('12', 2, 2.25, 1000)","('12', 5, 5.25, 1000)",1
"('12', 3, 3.25, 1000)","('12', 16, 16.25, 1000)",1
"('12', 4, 4.25, 1000)","('12', 19, 19.25, 1000)",1
"('12', 5, 5.25, 1000)","('12', 2, 2.25, 1000)",1
"('12', 6, 6.25, 1000)","('12', 5, 5.25, 1000)",4
"('12', 7, 7.25, 1000)","('12', 0, 0.25, 1000)",5
"('12', 8, 8.25, 1000)","('12', 21, 21.25, 1000)",5
"('12', 9, 9.25, 1000)","('12', 0, 0.25, 1000)",5
"('12', 10, 10.25, 1000)","('12', 19, 19.25, 1000)",5
"('12', 11, 11.25, 1000)","('12', 13, 13.25, 1000)",5
"('12', 12, 12.25, 1000)","('1', 9, 9.25, 1000)",5
"('12', 13, 13.25, 1000)","('12', 11, 11.25, 1000)",5
"('12', 14, 14.25, 1000)","('12', 11, 11.25, 1000)",5
"('12', 15, 15.25, 1000)","('12', 14, 14.25, 1000)",5
"('12', 16, 16.25, 1000)","('12', 3, 3.25, 1000)",5
"('12', 17, 17.25, 1000)","('12', 16, 16.25, 1000)",5
"('12', 18, 18.25, 1000)","('1', 9, 9.25, 1000)",5
"('12', 19, 19.25, 1000)","('12', 4, 4.25, 1000)",5
"('12', 20, 20.25, 1000)","('12', 27, 27.25, 1000)",5
"('12', 21, 21.25, 1000)","('12', 8, 8.25, 1000)",5
"('12', 22, 22.25, 1000)","('12', 26, 26.25, 1000)",5
"('12', 23, 23.25, 1000)","('12', 14, 14.25, 1000)",5
