"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('2', 0, 0.25, 1000)","('20', 0, 0.25, 1000)",1
"('2', 1, 1.25, 1000)","('20', 0, 0.25, 1000)",1
"('2', 2, 2.25, 1000)","('13', 32, 32.25, 1000)",1
"('2', 3, 3.25, 1000)","('20', 0, 0.25, 1000)",1
"('2', 4, 4.25, 1000)","('46', 0, 0.25, 1000)",1
"('2', 5, 5.25, 1000)","('20', 0, 0.25, 1000)",1
"('2', 6, 6.25, 1000)","('20', 0, 0.25, 1000)",1
"('2', 7, 7.25, 1000)","('20', 0, 0.25, 1000)",1
"('2', 8, 8.25, 1000)","('20', 0, 0.25, 1000)",1
"('2', 9, 9.25, 1000)","('2', 0, 0.25, 1000)",1
"('2', 10, 10.25, 1000)","('20', 0, 0.25, 1000)",1
"('2', 11, 11.25, 1000)","('46', 1, 1.25, 1000)",1
"('2', 12, 12.25, 1000)","('20', 0, 0.25, 1000)",1
"('2', 13, 13.25, 1000)","('20', 0, 0.25, 1000)",1
"('2', 14, 14.25, 1000)","('2', 4, 4.25, 1000)",3
"('2', 15, 15.25, 1000)","('2', 4, 4.25, 1000)",3
"('2', 16, 16.25, 1000)","('2', 4, 4.25, 1000)",3
"('2', 17, 17.25, 1000)","('20', 40, 40.25, 1000)",5
"('2', 18, 18.25, 1000)","('46', 2, 2.25, 1000)",5
"('2', 19, 19.25, 1000)","('46', 2, 2.25, 1000)",5
"('2', 20, 20.25, 1000)","('2', 4, 4.25, 1000)",5
"('2', 21, 21.25, 1000)","('46', 8, 8.25, 1000)",5
"('2', 22, 22.25, 1000)","('46', 10, 10.25, 1000)",5
"('2', 23, 23.25, 1000)","('46', 26, 26.25, 1000)",5
"('2', 24, 24.25, 1000)","('46', 10, 10.25, 1000)",5
"('2', 25, 25.25, 1000)","('47', 1, 1.25, 1000)",5
"('2', 26, 26.25, 1000)","('2', 22, 22.25, 1000)",5
"('2', 28, 28.25, 1000)","('47', 11, 11.25, 1000)",8
"('2', 29, 29.25, 1000)","('2', 34, 34.25, 1000)",8
"('2', 31, 31.25, 1000)","('46', 17, 17.25, 1000)",8
"('2', 32, 32.25, 1000)","('46', 27, 27.25, 1000)",8
"('2', 33, 33.25, 1000)","('47', 17, 17.25, 1000)",9
"('2', 34, 34.25, 1000)","('46', 8, 8.25, 1000)",9
"('2', 35, 35.25, 1000)","('2', 30, 30.25, 1000)",9
"('2', 36, 36.25, 1000)","('46', 10, 10.25, 1000)",9
"('2', 37, 37.25, 1000)","('46', 24, 24.25, 1000)",9
"('2', 38, 38.25, 1000)","('2', 15, 15.25, 1000)",9
"('2', 40, 40.25, 1000)","('20', 0, 0.25, 1000)",12
"('2', 42, 42.25, 1000)","('46', 2, 2.25, 1000)",14
"('2', 43, 43.25, 1000)","('46', 2, 2.25, 1000)",14
"('2', 44, 44.25, 1000)","('2', 18, 18.25, 1000)",14
"('2', 45, 45.25, 1000)","('2', 22, 22.25, 1000)",14
"('13', 1, 1.25, 1000)","('20', 0, 0.25, 1000)",4
"('13', 2, 2.25, 1000)","('20', 1, 1.25, 1000)",4
"('13', 3, 3.25, 1000)","('46', 13, 13.25, 1000)",5
"('13', 4, 4.25, 1000)","('13', 11, 11.25, 1000)",5
"('13', 5, 5.25, 1000)","('47', 2, 2.25, 1000)",5
"('13', 6, 6.25, 1000)","('13', 10, 10.25, 1000)",5
"('13', 7, 7.25, 1000)","('13', 10, 10.25, 1000)",5
"('13', 8, 8.25, 1000)","('46', 16, 16.25, 1000)",5
"('13', 10, 10.25, 1000)","('13', 6, 6.25, 1000)",5
"('13', 11, 11.25, 1000)","('13', 4, 4.25, 1000)",5
"('13', 12, 12.25, 1000)","('46', 0, 0.25, 1000)",5
"('13', 13, 13.25, 1000)","('46', 16, 16.25, 1000)",5
"('13', 14, 14.25, 1000)","('47', 2, 2.25, 1000)",5
"('13', 15, 15.25, 1000)","('13', 4, 4.25, 1000)",5
"('13', 16, 16.25, 1000)","('47', 2, 2.25, 1000)",6
"('13', 18, 18.25, 1000)","('20', 0, 0.25, 1000)",6
"('13', 20, 20.25, 1000)","('46', 32, 32.25, 1000)",7
"('13', 21, 21.25, 1000)","('47', 2, 2.25, 1000)",8
"('13', 22, 22.25, 1000)","('13', 28, 28.25, 1000)",8
"('13', 23, 23.25, 1000)","('20', 1, 1.25, 1000)",8
"('13', 24, 24.25, 1000)","('20', 11, 11.25, 1000)",8
"('13', 25, 25.25, 1000)","('20', 11, 11.25, 1000)",8
"('13', 26, 26.25, 1000)","('13', 25, 25.25, 1000)",8
"('13', 27, 27.25, 1000)","('46', 27, 27.25, 1000)",8
"('13', 28, 28.25, 1000)","('13', 22, 22.25, 1000)",9
"('13', 30, 30.25, 1000)","('46', 10, 10.25, 1000)",9
"('13', 31, 31.25, 1000)","('46', 11, 11.25, 1000)",11
"('13', 32, 32.25, 1000)","('2', 2, 2.25, 1000)",11
"('13', 33, 33.25, 1000)","('20', 16, 16.25, 1000)",11
"('13', 34, 34.25, 1000)","('20', 8, 8.25, 1000)",12
"('13', 35, 35.25, 1000)","('46', 15, 15.25, 1000)",14
"('17', 0, 0.25, 1000)","('2', 3, 3.25, 1000)",5
"('17', 1, 1.25, 1000)","('46', 3, 3.25, 1000)",5
"('20', 0, 0.25, 1000)","('46', 0, 0.25, 1000)",1
"('20', 1, 1.25, 1000)","('46', 0, 0.25, 1000)",1
"('20', 2, 2.25, 1000)","('20', 0, 0.25, 1000)",1
"('20', 3, 3.25, 1000)","('20', 0, 0.25, 1000)",1
"('20', 4, 4.25, 1000)","('20', 0, 0.25, 1000)",1
"('20', 5, 5.25, 1000)","('20', 0, 0.25, 1000)",1
"('20', 6, 6.25, 1000)","('20', 0, 0.25, 1000)",1
"('20', 7, 7.25, 1000)","('20', 0, 0.25, 1000)",1
