"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('2', 0, 0.25, 1000)","('2', 1, 1.25, 1000)",1
"('2', 1, 1.25, 1000)","('2', 0, 0.25, 1000)",5
"('4', 0, 0.25, 1000)","('4', 1, 1.25, 1000)",1
"('4', 1, 1.25, 1000)","('4', 0, 0.25, 1000)",1
"('7', 0, 0.25, 1000)","('26', 3, 3.25, 1000)",1
"('7', 1, 1.25, 1000)","('7', 0, 0.25, 1000)",1
"('7', 2, 2.25, 1000)","('7', 0, 0.25, 1000)",2
"('7', 3, 3.25, 1000)","('7', 1, 1.25, 1000)",2
"('7', 4, 4.25, 1000)","('7', 5, 5.25, 1000)",2
"('7', 5, 5.25, 1000)","('7', 0, 0.25, 1000)",2
"('7', 6, 6.25, 1000)","('7', 2, 2.25, 1000)",2
"('7', 7, 7.25, 1000)","('7', 0, 0.25, 1000)",3
"('7', 8, 8.25, 1000)","('7', 0, 0.25, 1000)",3
"('7', 9, 9.25, 1000)","('7', 0, 0.25, 1000)",3
"('7', 10, 10.25, 1000)","('7', 3, 3.25, 1000)",3
"('7', 11, 11.25, 1000)","('7', 0, 0.25, 1000)",3
"('7', 12, 12.25, 1000)","('38', 2, 2.25, 1000)",3
"('7', 13, 13.25, 1000)","('38', 2, 2.25, 1000)",3
"('7', 14, 14.25, 1000)","('7', 0, 0.25, 1000)",3
"('7', 15, 15.25, 1000)","('38', 2, 2.25, 1000)",3
"('7', 16, 16.25, 1000)","('7', 2, 2.25, 1000)",3
"('7', 17, 17.25, 1000)","('7', 5, 5.25, 1000)",3
"('7', 18, 18.25, 1000)","('38', 2, 2.25, 1000)",4
"('7', 19, 19.25, 1000)","('7', 0, 0.25, 1000)",4
"('7', 20, 20.25, 1000)","('7', 3, 3.25, 1000)",4
"('7', 21, 21.25, 1000)","('38', 2, 2.25, 1000)",4
"('7', 22, 22.25, 1000)","('7', 0, 0.25, 1000)",4
"('7', 23, 23.25, 1000)","('7', 1, 1.25, 1000)",4
"('7', 24, 24.25, 1000)","('7', 0, 0.25, 1000)",4
"('7', 25, 25.25, 1000)","('7', 26, 26.25, 1000)",4
"('7', 26, 26.25, 1000)","('26', 7, 7.25, 1000)",4
"('7', 27, 27.25, 1000)","('26', 1, 1.25, 1000)",5
"('7', 28, 28.25, 1000)","('7', 4, 4.25, 1000)",5
"('7', 29, 29.25, 1000)","('7', 4, 4.25, 1000)",5
"('7', 30, 30.25, 1000)","('26', 3, 3.25, 1000)",5
"('7', 31, 31.25, 1000)","('7', 33, 33.25, 1000)",5
"('7', 32, 32.25, 1000)","('7', 21, 21.25, 1000)",5
"('7', 33, 33.25, 1000)","('38', 2, 2.25, 1000)",7
"('7', 34, 34.25, 1000)","('7', 35, 35.25, 1000)",7
"('7', 35, 35.25, 1000)","('38', 2, 2.25, 1000)",7
"('7', 36, 36.25, 1000)","('7', 1, 1.25, 1000)",7
"('7', 37, 37.25, 1000)","('38', 2, 2.25, 1000)",7
"('7', 38, 38.25, 1000)","('38', 2, 2.25, 1000)",7
"('7', 39, 39.25, 1000)","('38', 2, 2.25, 1000)",7
"('7', 40, 40.25, 1000)","('7', 12, 12.25, 1000)",7
"('7', 41, 41.25, 1000)","('7', 0, 0.25, 1000)",7
"('7', 42, 42.25, 1000)","('7', 5, 5.25, 1000)",7
"('7', 43, 43.25, 1000)","('7', 0, 0.25, 1000)",8
"('7', 44, 44.25, 1000)","('26', 10, 10.25, 1000)",8
"('7', 45, 45.25, 1000)","('7', 8, 8.25, 1000)",9
"('7', 46, 46.25, 1000)","('7', 4, 4.25, 1000)",9
"('7', 47, 47.25, 1000)","('7', 5, 5.25, 1000)",9
"('7', 48, 48.25, 1000)","('7', 4, 4.25, 1000)",9
"('7', 49, 49.25, 1000)","('26', 7, 7.25, 1000)",9
"('7', 50, 50.25, 1000)","('7', 21, 21.25, 1000)",9
"('7', 51, 51.25, 1000)","('38', 2, 2.25, 1000)",9
"('7', 52, 52.25, 1000)","('7', 1, 1.25, 1000)",9
"('7', 53, 53.25, 1000)","('7', 0, 0.25, 1000)",11
"('7', 54, 54.25, 1000)","('7', 4, 4.25, 1000)",12
"('7', 55, 55.25, 1000)","('38', 2, 2.25, 1000)",14
"('10', 0, 0.25, 1000)","('10', 8, 8.25, 1000)",1
"('10', 1, 1.25, 1000)","('7', 8, 8.25, 1000)",1
"('10', 2, 2.25, 1000)","('10', 22, 22.25, 1000)",1
"('10', 3, 3.25, 1000)","('10', 4, 4.25, 1000)",1
"('10', 4, 4.25, 1000)","('10', 3, 3.25, 1000)",4
"('10', 5, 5.25, 1000)","('38', 2, 2.25, 1000)",5
"('10', 6, 6.25, 1000)","('7', 36, 36.25, 1000)",5
"('10', 7, 7.25, 1000)","('38', 0, 0.25, 1000)",5
"('10', 8, 8.25, 1000)","('10', 0, 0.25, 1000)",5
"('10', 9, 9.25, 1000)","('10', 0, 0.25, 1000)",7
"('10', 10, 10.25, 1000)","('7', 10, 10.25, 1000)",7
"('10', 11, 11.25, 1000)","('7', 10, 10.25, 1000)",7
"('10', 12, 12.25, 1000)","('10', 1, 1.25, 1000)",7
"('10', 13, 13.25, 1000)","('38', 2, 2.25, 1000)",8
"('10', 14, 14.25, 1000)","('10', 4, 4.25, 1000)",8
"('10', 15, 15.25, 1000)","('10', 7, 7.25, 1000)",8
"('10', 16, 16.25, 1000)","('7', 8, 8.25, 1000)",8
"('10', 17, 17.25, 1000)","('10', 1, 1.25, 1000)",8
"('10', 18, 18.25, 1000)","('7', 3, 3.25, 1000)",8
"('10', 19, 19.25, 1000)","('10', 4, 4.25, 1000)",12
"('10', 20, 20.25, 1000)","('10', 1, 1.25, 1000)",13
"('10', 21, 21.25, 1000)","('10', 4, 4.25, 1000)",13
"('10', 22, 22.25, 1000)","('10', 2, 2.25, 1000)",14
"('10', 23, 23.25, 1000)","('38', 1, 1.25, 1000)",14
"('10', 24, 24.25, 1000)","('10', 0, 0.25, 1000)",14
"('10', 25, 25.25, 1000)","('38', 12, 12.25, 1000)",14
"('22', 0, 0.25, 1000)","('22', 1, 1.25, 1000)",5
"('22', 1, 1.25, 1000)","('22', 0, 0.25, 1000)",5
"('22', 2, 2.25, 1000)","('22', 6, 6.25, 1000)",5
"('22', 3, 3.25, 1000)","('22', 0, 0.25, 1000)",5
"('22', 4, 4.25, 1000)","('22', 6, 6.25, 1000)",6
"('22', 5, 5.25, 1000)","('22', 6, 6.25, 1000)",6
"('22', 6, 6.25, 1000)","('22', 0, 0.25, 1000)",6
"('22', 7, 7.25, 1000)","('22', 0, 0.25, 1000)",7
"('22', 8, 8.25, 1000)","('26', 15, 15.25, 1000)",7
"('22', 9, 9.25, 1000)","('22', 0, 0.25, 1000)",7
"('22', 10, 10.25, 1000)","('22', 0, 0.25, 1000)",8
"('26', 0, 0.25, 1000)","('38', 15, 15.25, 1000)",1
"('26', 1, 1.25, 1000)","('26', 4, 4.25, 1000)",1
"('26', 2, 2.25, 1000)","('26', 3, 3.25, 1000)",1
"('26', 3, 3.25, 1000)","('26', 2, 2.25, 1000)",1
"('26', 4, 4.25, 1000)","('26', 1, 1.25, 1000)",1
"('26', 5, 5.25, 1000)","('26', 2, 2.25, 1000)",1
"('26', 6, 6.25, 1000)","('26', 1, 1.25, 1000)",1
"('26', 7, 7.25, 1000)","('26', 2, 2.25, 1000)",1
"('26', 8, 8.25, 1000)","('37', 2, 2.25, 1000)",1
"('26', 9, 9.25, 1000)","('26', 4, 4.25, 1000)",1
"('26', 10, 10.25, 1000)","('7', 7, 7.25, 1000)",3
"('26', 11, 11.25, 1000)","('26', 4, 4.25, 1000)",3
"('26', 12, 12.25, 1000)","('26', 2, 2.25, 1000)",4
"('26', 13, 13.25, 1000)","('26', 4, 4.25, 1000)",4
"('26', 14, 14.25, 1000)","('26', 1, 1.25, 1000)",5
"('26', 15, 15.25, 1000)","('26', 4, 4.25, 1000)",5
"('26', 16, 16.25, 1000)","('26', 25, 25.25, 1000)",5
"('26', 17, 17.25, 1000)","('26', 1, 1.25, 1000)",5
